rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
129,"spotify:track:1VauUM5CBX7nkLcgafQL2B","Bizarrap, Eladio Carrion","Eladio Carrion: Bzrp Music Sessions, Vol. 40","DALE PLAY Records",11,132,543,"56999"
130,"spotify:track:5WxYU8RRzy5X0kC6Fx9SpI","C. Tangana, NATHY PELUSO","Ateo","Sony Music Entertainment",1,126,514,"55900"
131,"spotify:track:2beS6dD5rovBxSA1zYoSHR","Jhayco, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",4,127,1302,"55723"
132,"spotify:track:6sHBvzRsuGunQTfCk18KXi","Juan Magán","Bailando por Ahi","Columbia",128,128,11,"55501"
133,"spotify:track:63ZedTAVRCICh2CNLWnsPZ","Beny Jr, Morad, K y B","Sigue","K y B",14,143,339,"55260"
134,"spotify:track:1Sym1HsTqsa2pYKhYL1j15","Eladio Carrion, Rels B","Me Gustas Natural","Rimas Entertainment LLC",50,145,445,"55186"
135,"spotify:track:1FlL8ycld6uVDDyhV7P5FA","Rauw Alejandro","Cúrame","Sony Music Latin/Duars Entertainment",2,131,619,"54415"
136,"spotify:track:2J8lIDwvxPZQQ0I0wt1oRO","Ptazeta, Lola Indigo","Tiki Tiki","Interscope Records",93,133,31,"54132"
137,"spotify:track:1j4yhkxSCEDmiLVKjpYKWq","Daddy Yankee, Justin Quiles, Dalex","LA HORA Y EL DÍA","Republic Records",78,124,17,"53423"
138,"spotify:track:0Bv7O6fmZk3GrNQFYJaXPn","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera",1,141,416,"53364"
139,"spotify:track:4hceSKjrkDTO0nMKFcb3sj","Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51","DALE PLAY Records",4,142,270,"53224"
140,"spotify:track:3jUDqkHatwtprUmZ8epP8P","KAROL G, Sech","DAÑAMOS LA AMISTAD","UMLE - Latino",66,129,10,"52624"
141,"spotify:track:0eVborSuxUeSg0meWYd9dZ","Fito y Fitipaldis","Soldadito marinero","DRO/EastWest Spain",111,155,1759,"52141"
142,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",118,170,18,"52115"
143,"spotify:track:4bycD60yZgR6anIBtmU8UH","KAROL G, Carla Morrison","MAÑANA SERÁ BONITO","UMLE - Latino",87,137,10,"51658"
144,"spotify:track:6DoL1yYIwEW7VZMRaJhoJI","Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow","La Llevo Al Cielo (Ft. Ñengo Flow)","UMLE - Latino",7,146,290,"51356"
145,"spotify:track:6odrHMSLjP3aOXC4ipKUC6","Yng Lvcas","La Bebe","Yng Lvcas",111,139,19,"51335"
146,"spotify:track:6gN4xor5X60aNKrvyjMBPU","Quevedo","CUÉNTALE","Quevedo",11,149,45,"51139"
147,"spotify:track:4iGnpp1h0i33lpoP42Y8Jt","Aitana, Emilia, Ptazeta","Quieres","Universal Music Spain S.L.",22,153,227,"50720"
148,"spotify:track:3v1dCP3hk2djfWryqfp7sx","Melendi","Caminando por la vida","Parlophone Spain",138,160,500,"50700"
149,"spotify:track:7Cg58yt6PVyvckydVLRZsp","Miranda!, Emilia","Uno los Dos","Sony Music Argentina",144,144,3,"50361"
150,"spotify:track:4MzXwWMhyBbmu6hOcLVD49","Bad Bunny, Jhayco","DÁKITI","Rimas Entertainment LLC",1,154,857,"50264"
151,"spotify:track:4HYDUMY0xSpeBr0AMY9cUz","Jay Wheeler, DJ Nelson, Myke Towers","La Curiosidad","Linked Music / Dynamic Records / EMPIRE",2,140,925,"50040"
152,"spotify:track:3GaGWoU1KfVqgl7vnRHP55","C. Tangana","Demasiadas Mujeres","Sony Music Entertainment",1,162,878,"50025"
153,"spotify:track:4SMeOd5Fb7Rp92ODZTWCHV","Quevedo, JC Reyes","MUÑECA","Quevedo",16,152,45,"49773"
154,"spotify:track:6WU2eYUtOL91iROonROPyh","Bad Gyal, Quevedo","Real G","Universal Music Latino/Interscope",9,147,94,"49298"
155,"spotify:track:7k3qWn8D43a5ISa3x8lJux","Anuel AA","¿Qué Nos Pasó?","Real Hasta La Muerte, LLC",48,166,238,"49235"
156,"spotify:track:7eTv2OTr3aY5iKtFdBusoA","KAROL G","BESTIES","UMLE - Latino",59,135,10,"49073"
157,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You","Atlantic Records",43,158,145,"48967"
158,"spotify:track:2NMjggapJcXXM7WccGEBUO","Bad Bunny","Enséñame a Bailar","Rimas Entertainment LLC",14,163,297,"48751"
159,"spotify:track:1VB4sadHjFcFklHcZuoROi","Estopa","Como Camarón","Ariola",125,165,791,"48715"
160,"spotify:track:3hKFVBIUvDyigbQLZR4z9H","Enol, Marmi","SANTORINI (feat. Marmi)","WM Spain",145,181,13,"48707"
161,"spotify:track:2bbwjxA68m9PHZFWgF1fze","Duki","GIVENCHY","DALE PLAY Records / SSJ Records",3,150,228,"48488"
162,"spotify:track:5n2XTRsYFlZwNBp06KAjDX","Cosculluela, Bad Bunny","Madura","Rottweilas, Inc.",7,167,323,"48346"
163,"spotify:track:5ddFjrPG8NgQQ6xlOQIVd2","C. Tangana, Niño de Elche, La Húngara","Tú Me Dejaste De Querer","Sony Music Entertainment",1,156,851,"48276"
164,"spotify:track:4YBgxy0sK4ykesIYuLldxz","Quevedo","ME FALTA ALGO","Quevedo",19,184,45,"47778"
165,"spotify:track:6yNIT5iO7lUGOFDLG5CPJC","Rauw Alejandro","CORAZÓN DESPEINADO","Sony Music Latin/Duars Entertainment",41,151,88,"47698"
166,"spotify:track:6yCjU5j6YHbux2VQCBTTE1","Melendi","Tu jardín con enanitos","WM Spain",109,-1,480,"47538"
167,"spotify:track:6J3kt4eAqRffh5lBuHJJSO","Rauw Alejandro, Playero","DE CAROLINA","Sony Music Latin/Duars Entertainment",90,148,95,"47000"
168,"spotify:track:17BqQS5Cj899fQR8e6gvk9","Omar Montes, Farruko","Patio de la Cárcel - Tangos","Sony Music Latin",13,157,101,"46908"
169,"spotify:track:0poQY3RMThmIiutOGv3yH3","Maria Becerra","AUTOMÁTICO","300 Entertainment",16,159,178,"46772"
170,"spotify:track:655JkvIwu2rDCaD1hPf04g","Sebastian Yatra, Myke Towers","Pareja Del Año","UMLE - Latino",1,172,688,"46375"
171,"spotify:track:2zQvtkghOHiBG48Bj0oFR9","Natos y Waor","Cicatrices","Natos y Waor",23,-1,1333,"46229"
172,"spotify:track:20NeR3CwuyGfRktTncKRU7","Pablo Alborán, Maria Becerra","Amigos (con Maria Becerra)","WM Spain",49,168,115,"46188"
173,"spotify:track:55oRR1s2W1xX2evrUCaOSb","La La Love You, Samuraï","El Principio de algo","Subterfuge Records",80,188,36,"46009"
174,"spotify:track:24UStI5AYA7g5ufFDh3LH0","Fito y Fitipaldis","Por la boca vive el pez","DRO/Spain",148,192,147,"45929"
175,"spotify:track:1dTiGeFvkufOuEQtAKeK4z","Cano","Qué Bonita","WM Spain",79,-1,149,"45376"
